"salefactid","saleid","saledate","customer.customerid","customer.firstname","customer.lastname","customer.phone","customer.address","customer.city","customer.state","customer.zipcode","animal.animalid","animal.name","animal.category","animal.breed","animal.dateborn","animal.gender","animal.registered","animal.color","animal.listprice","merchandise.merchandiseid","merchandise.description","merchandise.quantityonhand","merchandise.listprice","merchandise.category","quantity","saleprice","salestax"
17,10,"2004-11-01",53,"David","Lawrence","(414) 331-5679","9326 Halltown Road","Beaver Dam","WI","53916",9,"","Fish","Guppy","2004-03-10","Male","","Gold",2,,"",,,"",1,1.8,7.83
18,10,"2004-11-01",53,"David","Lawrence","(414) 331-5679","9326 Halltown Road","Beaver Dam","WI","53916",,"","","","","","","",,23,"Aquarium-25 gal",28,75,"Fish",1,67.5,7.83
19,10,"2004-11-01",53,"David","Lawrence","(414) 331-5679","9326 Halltown Road","Beaver Dam","WI","53916",,"","","","","","","",,25,"Fish Food",113,3,"Fish",5,2.7,7.83
20,10,"2004-11-01",53,"David","Lawrence","(414) 331-5679","9326 Halltown Road","Beaver Dam","WI","53916",,"","","","","","","",,26,"Aquarium Decoration",48,6,"Fish",3,5.4,7.83
21,10,"2004-11-01",53,"David","Lawrence","(414) 331-5679","9326 Halltown Road","Beaver Dam","WI","53916",,"","","","","","","",,27,"Aquarium Filter + Pump",18,35,"Fish",1,31.5,7.83
22,11,"2004-12-24",60,"Lou Ann","Baez","(502) 029-3909","2528 Hot Springs Avenue","Campbellsville","KY","42718",,"","","","","","","",,11,"Dog Food-Dry-50 pound",373,30,"Dog",2,27,3.67
23,11,"2004-12-24",60,"Lou Ann","Baez","(502) 029-3909","2528 Hot Springs Avenue","Campbellsville","KY","42718",,"","","","","","","",,15,"Dog Food-Can-Regular",452,0.4,"Dog",20,0.36,3.67
24,12,"2004-08-15",53,"David","Lawrence","(414) 331-5679","9326 Halltown Road","Beaver Dam","WI","53916",5,"","Fish","Shark","2004-01-01","Female","","Gray",22,,"",,,"",1,19.8,1.19
25,13,"2004-01-30",49,"Wallace","Galloway","(210) 851-7566","4358 Cherokee Road","Leon Valley","TX","78284",162,"Basil","Cat","Japanese Bobtail","2004-05-08","Male","CFA","Red",133.19,,"",,,"",1,119.88,14.81
26,13,"2004-01-30",49,"Wallace","Galloway","(210) 851-7566","4358 Cherokee Road","Leon Valley","TX","78284",199,"Herbert","Cat","Abyssinian","2004-01-23","Male","CFA","White",163.73,,"",,,"",1,100,14.81
27,13,"2004-01-30",49,"Wallace","Galloway","(210) 851-7566","4358 Cherokee Road","Leon Valley","TX","78284",,"","","","","","","",,8,"Cat Toy",182,3,"Cat",2,2.7,14.81
28,13,"2004-01-30",49,"Wallace","Galloway","(210) 851-7566","4358 Cherokee Road","Leon Valley","TX","78284",,"","","","","","","",,38,"Brush-Soft",50,8,"Cat",1,7.2,14.81
29,13,"2004-01-30",49,"Wallace","Galloway","(210) 851-7566","4358 Cherokee Road","Leon Valley","TX","78284",,"","","","","","","",,39,"Litter Box",131,8,"Cat",2,7.2,14.81
30,14,"2004-09-18",9,"Elwood","Henson","(702) 533-3419","4042 West Ridge Drive","Las Vegas","NV","89125",,"","","","","","","",,18,"Cat Food-Can-Premium",1874,1,"Cat",50,0.9,3.56
31,14,"2004-09-18",9,"Elwood","Henson","(702) 533-3419","4042 West Ridge Drive","Las Vegas","NV","89125",,"","","","","","","",,19,"Cat Litter-10 pound",128,8,"Cat",2,7.2,3.56
32,15,"2004-07-20",39,"Dorothy","Williams","(304) 352-8602","9286 Jackson Avenue","Teays Valley","WV","25550",13,"","Fish","Tetra","2004-03-01","Male","","Red",12,,"",,,"",1,10.8,1.13
33,15,"2004-07-20",39,"Dorothy","Williams","(304) 352-8602","9286 Jackson Avenue","Teays Valley","WV","25550",,"","","","","","","",,25,"Fish Food",113,3,"Fish",1,2.7,1.13
34,15,"2004-07-20",39,"Dorothy","Williams","(304) 352-8602","9286 Jackson Avenue","Teays Valley","WV","25550",,"","","","","","","",,26,"Aquarium Decoration",48,6,"Fish",1,5.4,1.13
35,16,"2004-09-18",62,"Phyllis","Tuck","(913) 496-1897","2150 Volunteer Drive","Manhattan","KS","66502",193,"Kevin","Cat","Sphynx","2004-09-20","Male","CFA","Yellow",240.05,,"",,,"",1,216.05,12.96
36,17,"2004-02-12",71,"Herman","Moseley","(702) 867-1893","4461 Southern Drive","East Las Vegas","NV","89114",11,"Susan","Dog","Dalmation","2004-01-22","Female","AKC","Spotted",164.96,,"",,,"",1,148.47,16.31
37,17,"2004-02-12",71,"Herman","Moseley","(702) 867-1893","4461 Southern Drive","East Las Vegas","NV","89114",,"","","","","","","",,3,"Dog Kennel-Large",13,85,"Dog",1,76.5,16.31
38,17,"2004-02-12",71,"Herman","Moseley","(702) 867-1893","4461 Southern Drive","East Las Vegas","NV","89114",,"","","","","","","",,30,"Flea Collar-Dog-Medium",429,7,"Dog",1,6.3,16.31
39,17,"2004-02-12",71,"Herman","Moseley","(702) 867-1893","4461 Southern Drive","East Las Vegas","NV","89114",,"","","","","","","",,33,"Collar-Dog-Medium",92,15,"Dog",1,13.5,16.31
40,17,"2004-02-12",71,"Herman","Moseley","(702) 867-1893","4461 Southern Drive","East Las Vegas","NV","89114",,"","","","","","","",,36,"Leash",172,22,"Dog",1,19.8,16.31
41,17,"2004-02-12",71,"Herman","Moseley","(702) 867-1893","4461 Southern Drive","East Las Vegas","NV","89114",,"","","","","","","",,37,"Brush-Stiff",34,8,"Dog",1,7.2,16.31
42,18,"2004-12-21",35,"Kimberly","Adams","(406) 987-9338","5064 Pleasant Valley Drive","Kalispell","MT","59901",10,"Sherri","Dog","Siberian Huskie","2004-09-13","Female","AKC","Black/White",166.79,,"",,,"",1,150.11,14.95
43,18,"2004-12-21",35,"Kimberly","Adams","(406) 987-9338","5064 Pleasant Valley Drive","Kalispell","MT","59901",,"","","","","","","",,4,"Dog Kennel-Extra Large",6,110,"Dog",1,99,14.95
44,19,"2004-02-14",14,"Beth","Patterson","(614) 721-2870","3688 Long Hollow Pike","Columbus","OH","43216",47,"Brian","Dog","Cock A Poo","2004-03-03","Male","AKC","Black",206.07,,"",,,"",1,185.47,15.72
45,19,"2004-02-14",14,"Beth","Patterson","(614) 721-2870","3688 Long Hollow Pike","Columbus","OH","43216",,"","","","","","","",,3,"Dog Kennel-Large",13,85,"Dog",1,76.5,15.72
46,20,"2004-03-09",2,"Brent","Cummings","(808) 801-9830","9197 Hatchet Drive","Honolulu","HI","96815",13,"","Fish","Tetra","2004-03-01","Male","","Red",12,,"",,,"",1,10.8,12.96
47,20,"2004-03-09",2,"Brent","Cummings","(808) 801-9830","9197 Hatchet Drive","Honolulu","HI","96815",18,"Allison","Cat","Manx","2004-04-21","Female","CFA","Black",215.92,,"",,,"",1,194.33,12.96
48,20,"2004-03-09",2,"Brent","Cummings","(808) 801-9830","9197 Hatchet Drive","Honolulu","HI","96815",,"","","","","","","",,25,"Fish Food",113,3,"Fish",4,2.7,12.96
49,21,"2004-04-23",61,"Marvin","McDonald","(304) 416-1309","8045 Lovers Lane","Cross Lanes","WV","25301",163,"Bruce","Dog","Jack Russell Terrier","2004-09-20","Male","AKC","Brown/White",261.02,,"",,,"",1,234.93,20.14
50,21,"2004-04-23",61,"Marvin","McDonald","(304) 416-1309","8045 Lovers Lane","Cross Lanes","WV","25301",,"","","","","","","",,11,"Dog Food-Dry-50 pound",373,30,"Dog",3,27,20.14
51,21,"2004-04-23",61,"Marvin","McDonald","(304) 416-1309","8045 Lovers Lane","Cross Lanes","WV","25301",,"","","","","","","",,36,"Leash",172,22,"Dog",1,19.8,20.14
52,22,"2004-11-27",16,"Rosie","Wade","(502) 863-3037","7661 Trident Place","Hopkinsville","KY","42240",67,"Ara","Cat","Manx","2004-01-29","Male","CFA","White",179.05,,"",,,"",1,161.15,9.67
53,23,"2004-07-08",27,"Archie","Mitchell","(608) 825-3740","1326 Cedar Avenue","Sun Prairie","WI","53590",189,"Emma","Bird","Parrot","2004-09-06","Female","","Yellow",170.08,,"",,,"",1,153.07,10.53
54,23,"2004-07-08",27,"Archie","Mitchell","(608) 825-3740","1326 Cedar Avenue","Sun Prairie","WI","53590",,"","","","","","","",,21,"Bird Cage-Medium",5,25,"Bird",1,22.5,10.53
55,24,"2004-08-24",99,"Luther","Bell","(717) 244-3484","5703 Cave Springs Road","Gettysburg","PA","17325",,"","","","","","","",,25,"Fish Food",113,3,"Fish",3,2.7,3.02
56,24,"2004-08-24",99,"Luther","Bell","(717) 244-3484","5703 Cave Springs Road","Gettysburg","PA","17325",,"","","","","","","",,26,"Aquarium Decoration",48,6,"Fish",2,5.4,3.02
57,24,"2004-08-24",99,"Luther","Bell","(717) 244-3484","5703 Cave Springs Road","Gettysburg","PA","17325",,"","","","","","","",,27,"Aquarium Filter + Pump",18,35,"Fish",1,31.5,3.02
58,25,"2004-02-17",85,"Glen","Cartwright","(502) 595-1052","448 Sanders Ferry Road","Paducah","KY","42004",7,"Eugene","Cat","Bombay","2004-01-25","Male","CFA","Black",279.54,,"",,,"",1,251.59,15.1
59,26,"2004-01-11",49,"Wallace","Galloway","(210) 851-7566","4358 Cherokee Road","Leon Valley","TX","78284",64,"","Reptile","Python","2004-04-11","Female","","Black",255.25,,"",,,"",1,229.73,14.49
60,26,"2004-01-11",49,"Wallace","Galloway","(210) 851-7566","4358 Cherokee Road","Leon Valley","TX","78284",72,"","Mammal","Hamster","2004-06-27","Male","","Brown/White",13,,"",,,"",1,11.7,14.49
61,27,"2004-10-25",47,"Bernice","Carver","(804) 020-5842","8170 Roberts Road","Chesapeake","VA","23320",6,"Rosie","Cat","Oriental Shorthair","2004-08-02","Female","CFA","Gray",193.31,,"",,,"",1,173.99,32.8
62,27,"2004-10-25",47,"Bernice","Carver","(804) 020-5842","8170 Roberts Road","Chesapeake","VA","23320",47,"Brian","Dog","Cock A Poo","2004-03-03","Male","AKC","Black",206.07,,"",,,"",1,185.47,32.8
63,27,"2004-10-25",47,"Bernice","Carver","(804) 020-5842","8170 Roberts Road","Chesapeake","VA","23320",,"","","","","","","",,3,"Dog Kennel-Large",13,85,"Dog",1,76.5,32.8
64,27,"2004-10-25",47,"Bernice","Carver","(804) 020-5842","8170 Roberts Road","Chesapeake","VA","23320",,"","","","","","","",,5,"Cat Bed-Small",36,25,"Cat",1,22.5,32.8
65,27,"2004-10-25",47,"Bernice","Carver","(804) 020-5842","8170 Roberts Road","Chesapeake","VA","23320",,"","","","","","","",,11,"Dog Food-Dry-50 pound",373,30,"Dog",2,27,32.8
66,27,"2004-10-25",47,"Bernice","Carver","(804) 020-5842","8170 Roberts Road","Chesapeake","VA","23320",,"","","","","","","",,15,"Dog Food-Can-Regular",452,0.4,"Dog",50,0.36,32.8
67,27,"2004-10-25",47,"Bernice","Carver","(804) 020-5842","8170 Roberts Road","Chesapeake","VA","23320",,"","","","","","","",,18,"Cat Food-Can-Premium",1874,1,"Cat",10,0.9,32.8
68,27,"2004-10-25",47,"Bernice","Carver","(804) 020-5842","8170 Roberts Road","Chesapeake","VA","23320",,"","","","","","","",,38,"Brush-Soft",50,8,"Cat",1,7.2,32.8
69,28,"2004-02-12",24,"Floyd","Young","(615) 969-8901","969 Windsor Park Lane","Murfreesboro","TN","37130",36,"Connie","Dog","Poodle-Toy","2004-10-14","Female","AKC","White",190.46,,"",,,"",1,171.41,10.28
70,29,"2004-06-16",82,"Basil","Davidson","(307) 448-5424","9102 Rocky Mound Road","Laramie","WY","82071",15,"Bonita","Dog","Cocker Spaniel","2004-10-21","Female","AKC","Gold",284.85,,"",,,"",1,256.37,15.38
71,30,"2004-10-15",26,"Trina","Howe","(606) 691-9745","2821 35th Street","Corbin","KY","40701",198,"Curtis","Dog","Maltese","2004-01-04","Male","AKC","Black",142.67,,"",,,"",1,128.41,8.14
72,30,"2004-10-15",26,"Trina","Howe","(606) 691-9745","2821 35th Street","Corbin","KY","40701",,"","","","","","","",,37,"Brush-Stiff",34,8,"Dog",1,7.2,8.14
73,31,"2004-04-22",19,"Lisa","Zhang","(505) 825-4065","477 Rolling Acres Drive","Santa Fe","NM","87501",59,"Gaylen","Dog","Dalmation","2004-05-10","Male","AKC","Spotted",199.52,,"",,,"",1,179.57,13.69
74,31,"2004-04-22",19,"Lisa","Zhang","(505) 825-4065","477 Rolling Acres Drive","Santa Fe","NM","87501",,"","","","","","","",,31,"Flea Collar-Dog-Large",1018,8.5,"Dog",2,7.65,13.69
75,31,"2004-04-22",19,"Lisa","Zhang","(505) 825-4065","477 Rolling Acres Drive","Santa Fe","NM","87501",,"","","","","","","",,33,"Collar-Dog-Medium",92,15,"Dog",1,13.5,13.69
76,31,"2004-04-22",19,"Lisa","Zhang","(505) 825-4065","477 Rolling Acres Drive","Santa Fe","NM","87501",,"","","","","","","",,36,"Leash",172,22,"Dog",1,19.8,13.69
77,32,"2004-03-09",72,"Gayle","Bailey","(360) 649-9754","8233 Whisper Woods Road","Silver Lake-Fircrest","WA","98201",16,"Lisa","Dog","Great Pyrenees","2004-01-05","Female","AKC","Brown",274.35,,"",,,"",1,246.92,15.95
78,32,"2004-03-09",72,"Gayle","Bailey","(360) 649-9754","8233 Whisper Woods Road","Silver Lake-Fircrest","WA","98201",,"","","","","","","",,30,"Flea Collar-Dog-Medium",429,7,"Dog",3,6.3,15.95
79,33,"2004-03-15",78,"Elaine","Hall","(505) 646-2748","1790 Cedar Avenue","Alamogordo","NM","88310",90,"Chad","Dog","Great Dane","2004-06-15","Male","","Black",223.97,,"",,,"",1,201.57,20.73
80,33,"2004-03-15",78,"Elaine","Hall","(505) 646-2748","1790 Cedar Avenue","Alamogordo","NM","88310",,"","","","","","","",,11,"Dog Food-Dry-50 pound",373,30,"Dog",4,27,20.73
81,33,"2004-03-15",78,"Elaine","Hall","(505) 646-2748","1790 Cedar Avenue","Alamogordo","NM","88310",,"","","","","","","",,15,"Dog Food-Can-Regular",452,0.4,"Dog",100,0.36,20.73
82,34,"2004-04-06",35,"Kimberly","Adams","(406) 987-9338","5064 Pleasant Valley Drive","Kalispell","MT","59901",46,"Lou Ann","Dog","Chinese Shar Pei","2004-01-08","Female","","Gold",254.85,,"",,,"",1,229.37,16.84
83,34,"2004-04-06",35,"Kimberly","Adams","(406) 987-9338","5064 Pleasant Valley Drive","Kalispell","MT","59901",,"","","","","","","",,1,"Dog Kennel-Small",11,45,"Dog",1,40.5,16.84
84,34,"2004-04-06",35,"Kimberly","Adams","(406) 987-9338","5064 Pleasant Valley Drive","Kalispell","MT","59901",,"","","","","","","",,32,"Collar-Dog-Small",47,12,"Dog",1,10.8,16.84
85,36,"2004-03-18",88,"Christa","Mallory","(703) 611-2557","6370 N. Main Street","Tysons Corner","VA","22101",17,"Jackie","Dog","Doberman","2004-04-12","Male","AKC","Black",165.73,,"",,,"",1,149.16,8.95
86,37,"2004-03-17",21,"Sarah","Mills","(615) 646-9874","8904 Horseshoe Road","Smyrna","TN","37167",20,"Buck","Cat","Bombay","2004-04-30","Male","CFA","Black",213.18,,"",,,"",1,191.87,11.51
87,38,"2004-02-10",94,"Dan","Kennedy","(802) 458-4329","3108 Troon Court","South Burlington","VT","05401",23,"Craig","Dog","Poodle","2004-03-17","Male","AKC","White",108.32,,"",,,"",1,97.49,5.91
88,38,"2004-02-10",94,"Dan","Kennedy","(802) 458-4329","3108 Troon Court","South Burlington","VT","05401",,"","","","","","","",,15,"Dog Food-Can-Regular",452,0.4,"Dog",1,0.36,5.91
89,38,"2004-02-10",94,"Dan","Kennedy","(802) 458-4329","3108 Troon Court","South Burlington","VT","05401",,"","","","","","","",,16,"Dog Food-Can-Premium",1179,0.8,"Dog",1,0.72,5.91
90,39,"2004-10-19",51,"Clyde","Jernigan","(715) 483-7737","5325 Cherry Street","River Falls","WI","54022",,"","","","","","","",,15,"Dog Food-Can-Regular",452,0.4,"Dog",10,0.36,0.49
91,39,"2004-10-19",51,"Clyde","Jernigan","(715) 483-7737","5325 Cherry Street","River Falls","WI","54022",,"","","","","","","",,17,"Cat Food-Can-Regular",7470,0.5,"Cat",10,0.45,0.49
92,40,"2004-04-07",9,"Elwood","Henson","(702) 533-3419","4042 West Ridge Drive","Las Vegas","NV","89125",26,"Orville","Dog","Shetland Sheepdog","2004-07-06","Male","AKC","Gray",242,,"",,,"",1,217.8,17.87
93,40,"2004-04-07",9,"Elwood","Henson","(702) 533-3419","4042 West Ridge Drive","Las Vegas","NV","89125",,"","","","","","","",,3,"Dog Kennel-Large",13,85,"Dog",1,76.5,17.87
94,40,"2004-04-07",9,"Elwood","Henson","(702) 533-3419","4042 West Ridge Drive","Las Vegas","NV","89125",,"","","","","","","",,16,"Dog Food-Can-Premium",1179,0.8,"Dog",5,0.72,17.87
95,41,"2004-06-09",38,"Jay","Franklin","(307) 477-8112","9105 Ridge Top Road","Laramie","WY","82070",27,"","Reptile","Gila Monster","2004-03-11","Male","","Green",192.08,,"",,,"",1,172.88,10.37
96,42,"2004-03-21",3,"Dwight","Logan","(617) 843-6488","1760 Clearview Street","Boston","MA","02109",28,"","Spider","Tarantula","2004-02-07","Male","","Black",45,,"",,,"",1,40.5,7.02
97,42,"2004-03-21",3,"Dwight","Logan","(617) 843-6488","1760 Clearview Street","Boston","MA","02109",,"","","","","","","",,20,"Wood Shavings/Bedding",141,10,"Mammal",1,9,7.02
98,42,"2004-03-21",3,"Dwight","Logan","(617) 843-6488","1760 Clearview Street","Boston","MA","02109",,"","","","","","","",,23,"Aquarium-25 gal",28,75,"Fish",1,67.5,7.02
99,43,"2004-04-11",72,"Gayle","Bailey","(360) 649-9754","8233 Whisper Woods Road","Silver Lake-Fircrest","WA","98201",31,"Taylor","Dog","Mastiff","2004-02-15","Male","AKC","Brown",164.7,,"",,,"",1,148.23,10.51
100,43,"2004-04-11",72,"Gayle","Bailey","(360) 649-9754","8233 Whisper Woods Road","Silver Lake-Fircrest","WA","98201",,"","","","","","","",,11,"Dog Food-Dry-50 pound",373,30,"Dog",1,27,10.51
101,44,"2004-02-17",22,"Inga","Adkins","(706) 977-4337","8831 Cardinal Lane","Dalton","GA","30720",70,"Chris","Dog","Akita","2004-02-08","Male","","White/Black",206.57,,"",,,"",1,185.92,0
102,44,"2004-02-17",22,"Inga","Adkins","(706) 977-4337","8831 Cardinal Lane","Dalton","GA","30720",,"","","","","","","",,34,"Collar-Dog-Large",132,20,"Dog",1,18,0
103,45,"2004-03-13",28,"Gina","Samuels","(408) 575-7000","2026 Homewood Blvd.","Milpitas","CA","95035",196,"Buck","Dog","Doberman","2004-06-05","Male","","Black",253.54,,"",,,"",1,179.55,10.77
104,46,"2004-06-02",23,"Jerome","Cummings","(606) 084-6983","2501 Club Circle","Westwoods","KY","41101",14,"Tina","Cat","Sphynx","2004-01-06","Female","CFA","Gold",143.94,,"",,,"",1,129.55,20.4
105,46,"2004-06-02",23,"Jerome","Cummings","(606) 084-6983","2501 Club Circle","Westwoods","KY","41101",45,"Bernard","Cat","American Shorthair","2004-08-08","Male","CFA","Gray",182.77,,"",,,"",1,164.5,20.4
106,46,"2004-06-02",23,"Jerome","Cummings","(606) 084-6983","2501 Club Circle","Westwoods","KY","41101",,"","","","","","","",,6,"Cat Bed-Medium",35,35,"Cat",1,31.5,20.4
107,46,"2004-06-02",23,"Jerome","Cummings","(606) 084-6983","2501 Club Circle","Westwoods","KY","41101",,"","","","","","","",,18,"Cat Food-Can-Premium",1874,1,"Cat",1,0.9,20.4
108,46,"2004-06-02",23,"Jerome","Cummings","(606) 084-6983","2501 Club Circle","Westwoods","KY","41101",,"","","","","","","",,36,"Leash",172,22,"Dog",1,13.5,20.4
109,47,"2004-09-21",38,"Jay","Franklin","(307) 477-8112","9105 Ridge Top Road","Laramie","WY","82070",21,"Debbie","Bird","Cockatiel","2004-01-14","Female","","Blue",177.88,,"",,,"",1,160.1,0
110,47,"2004-09-21",38,"Jay","Franklin","(307) 477-8112","9105 Ridge Top Road","Laramie","WY","82070",32,"Cathy","Cat","Scottish Fold","2004-06-05","Female","CFA","White",138.91,,"",,,"",1,125.03,0
111,47,"2004-09-21",38,"Jay","Franklin","(307) 477-8112","9105 Ridge Top Road","Laramie","WY","82070",,"","","","","","","",,21,"Bird Cage-Medium",5,25,"Bird",1,22.5,0
112,48,"2004-02-16",69,"Mandy","Elliott","(919) 205-8147","4839 Long Hollow Pike","Chapel Hill","NC","27514",174,"Lisa","Dog","Doberman","2004-02-24","Female","AKC","Brown",184.95,,"",,,"",1,166.46,10.5
113,48,"2004-02-16",69,"Mandy","Elliott","(919) 205-8147","4839 Long Hollow Pike","Chapel Hill","NC","27514",,"","","","","","","",,9,"Dog Food-Dry-10 pound",211,7.5,"Dog",1,6.75,10.5
114,48,"2004-02-16",69,"Mandy","Elliott","(919) 205-8147","4839 Long Hollow Pike","Chapel Hill","NC","27514",,"","","","","","","",,15,"Dog Food-Can-Regular",452,0.4,"Dog",5,0.36,10.5
115,49,"2004-09-16",66,"Adrian","Greer","(606) 683-4113","6597 Skyline Drive","Danville","KY","40422",29,"","Fish","Snail","2004-06-15","Male","","White",15,,"",,,"",1,13.5,2.7
116,49,"2004-09-16",66,"Adrian","Greer","(606) 683-4113","6597 Skyline Drive","Danville","KY","40422",,"","","","","","","",,27,"Aquarium Filter + Pump",18,35,"Fish",1,31.5,2.7
117,50,"2004-09-28",82,"Basil","Davidson","(307) 448-5424","9102 Rocky Mound Road","Laramie","WY","82071",33,"Kent","Dog","Poodle-Toy","2004-05-30","Male","AKC","Gray/Blue",122.36,,"",,,"",1,110.13,13.11
118,50,"2004-09-28",82,"Basil","Davidson","(307) 448-5424","9102 Rocky Mound Road","Laramie","WY","82071",200,"Brandy","Dog","Mastiff","2004-08-01","Female","AKC","Brown",120.36,,"",,,"",1,108.33,13.11
119,51,"2004-06-19",80,"Juanita","Vance","(515) 846-5222","8916 High Street","Ames","IA","50010",30,"Golda","Dog","Bloodhound","2004-01-06","Female","AKC","Brown",187.62,,"",,,"",1,168.86,10.13
120,52,"2004-06-18",57,"Phillip","Carter","(219) 263-2040","20 Green Street","Chapel Hill","NC","27514",40,"Hunter","Dog","Weimaraner","2004-04-02","Male","AKC","Brown",214.82,,"",,,"",1,193.34,11.6
121,53,"2004-02-05",43,"Jasper","Killen","(517) 057-3491","4869 Sequoia Lane","Hillsdale","MI","48924",112,"Elizabeth","Cat","Persian","2004-01-15","Female","CFA","Gray",145.33,,"",,,"",1,130.81,7.85
122,54,"2004-11-01",8,"Cora","Reid","(606) 688-8141","8351 Locust Street","Bellevue","KY","41073",37,"Hunter","Dog","Bassett Hound","2004-05-04","Male","AKC","Brown",115.39,,"",,,"",1,103.86,23.19
123,54,"2004-11-01",8,"Cora","Reid","(606) 688-8141","8351 Locust Street","Bellevue","KY","41073",95,"Ashley","Cat","Sphynx","2004-01-25","Female","CFA","White",183.48,,"",,,"",1,165.14,23.19
124,54,"2004-11-01",8,"Cora","Reid","(606) 688-8141","8351 Locust Street","Bellevue","KY","41073",,"","","","","","","",,1,"Dog Kennel-Small",11,45,"Dog",1,40.5,23.19
125,54,"2004-11-01",8,"Cora","Reid","(606) 688-8141","8351 Locust Street","Bellevue","KY","41073",,"","","","","","","",,2,"Dog Kennel-Medium",12,65,"Dog",1,58.5,23.19
126,54,"2004-11-01",8,"Cora","Reid","(606) 688-8141","8351 Locust Street","Bellevue","KY","41073",,"","","","","","","",,17,"Cat Food-Can-Regular",7470,0.5,"Cat",1,0.45,23.19
127,54,"2004-11-01",8,"Cora","Reid","(606) 688-8141","8351 Locust Street","Bellevue","KY","41073",,"","","","","","","",,32,"Collar-Dog-Small",47,12,"Dog",1,10.8,23.19
128,54,"2004-11-01",8,"Cora","Reid","(606) 688-8141","8351 Locust Street","Bellevue","KY","41073",,"","","","","","","",,38,"Brush-Soft",50,8,"Cat",1,7.2,23.19
129,55,"2004-01-15",22,"Inga","Adkins","(706) 977-4337","8831 Cardinal Lane","Dalton","GA","30720",35,"Charles","Bird","Parakeet","2004-04-09","Male","","Blue/Gold",203.1,,"",,,"",1,182.8,12.32
